Fecha,Hora_Log,TKR,Precio,Hora_BVC
7 Abr,14:20:32,I.INDUSTR:,2429.71,10:20:28
7 Abr,14:20:32,BNC:,1580.0,10:18:09
7 Abr,14:20:32,BPV:,145.0,10:19:58
7 Abr,14:20:32,BVCC:,580.0,10:20:28
7 Abr,14:20:32,BVL:,1830.0,10:18:48
7 Abr,14:20:32,CGQ:,4200.0,10:16:29
7 Abr,14:20:32,MPA:,100.0,10:20:07
7 Abr,14:20:32,MTC.B:,308.0,10:16:04
7 Abr,14:20:32,MVZ.A:,6899.0,10:18:38
7 Abr,14:20:32,MVZ.B:,6500.0,10:17:07
7 Abr,14:20:32,PGR:,110.0,10:19:38
7 Abr,14:20:32,TPG:,21.8,10:19:11
7 Abr,14:25:40,IBC:,6000.8,10:25:19
7 Abr,14:25:40,I.FINANCIE:,11493.0,10:25:19
7 Abr,14:25:40,I.INDUSTR:,2431.92,10:25:19
7 Abr,14:25:40,BNC:,1550.0,10:25:18
7 Abr,14:25:40,BPV:,145.0,10:24:27
7 Abr,14:25:40,BVCC:,580.0,10:23:41
7 Abr,14:25:40,CCR:,6800.0,10:20:39
7 Abr,14:25:40,MPA:,110.0,10:25:04
7 Abr,14:25:40,MTC.B:,308.0,10:24:36
7 Abr,14:25:40,PCP.B:,380.0,10:24:17
7 Abr,14:25:40,PGR:,110.0,10:23:55
7 Abr,14:25:40,PTN:,680.0,10:22:51
7 Abr,14:25:40,RST:,566.0,10:22:40
7 Abr,14:25:40,TDV.D:,810.0,10:21:02
7 Abr,14:25:40,TPG:,21.8,10:24:47
7 Abr,14:30:53,IBC:,6000.08,10:30:03
7 Abr,14:30:53,I.FINANCIE:,11493.0,10:30:02
7 Abr,14:30:53,I.INDUSTR:,2430.46,10:30:03
7 Abr,14:30:53,BNC:,1550.0,10:26:43
7 abr,14:30:53,CCP.B:,549.0,10:26:27
7 Abr,14:30:53,CRM.A:,688.0,10:26:17
7 Abr,14:30:53,ENV:,845.0,10:29:52
7 Abr,14:30:53,MTC.B:,308.0,10:26:26
7 Abr,14:30:53,MVZ.A:,6899.0,10:26:09
7 abr,14:30:53,PCP.B:,380.0,10:30:48
7 Abr,14:36:00,IBC:,5999.96,10:35:30
7 Abr,14:36:00,I.FINANCIE:,11493.0,10:35:29
7 Abr,14:36:00,I.INDUSTR:,2430.23,10:35:30
7 Abr,14:36:00,BNC:,1550.0,10:31:31
7 Abr,14:36:00,BPV:,145.0,10:34:48
7 Abr,14:36:00,DOM:,874.0,10:33:51
7 Abr,14:36:00,IVC.B:,585.0,10:35:56
7 Abr,14:36:00,MVZ.A:,6899.0,10:35:29
7 Abr,14:36:00,PCP.B:,380.0,10:34:50
7 Abr,14:36:00,PGR:,110.0,10:34:54
7 Abr,14:36:00,PIV.B:,50000.0,10:33:20
7 Abr,14:36:00,RST:,566.0,10:33:20
7 Abr,14:36:00,RST.B:,449.0,10:32:36
7 Abr,14:36:00,TDV.D:,810.0,10:31:11
7 Abr,14:36:00,TPG:,21.85,10:34:52
